# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
15523,-4547,-32768,32767,-9340,-32768,-32768
15538,-6337,-32768,32767,-10833,-32768,-32768
15553,-7837,-32768,32767,-12008,-32768,-32768
15568,-9256,-32768,32767,-12993,-32768,-32768
15583,-10756,-32768,32767,-14375,-32768,-32768
15597,-13174,-32768,32767,-14534,-32768,-32768
15613,-16206,-32085,32767,-14534,-32768,-32768
15628,-19173,-30433,32767,-14534,-32768,-32768
15643,-21979,-28495,32767,-14470,-32768,-32768
15657,-25559,-25382,32767,-14422,-32768,-32768
15673,-28720,-21776,32767,-14962,-32768,-32768
15689,-30461,-19283,32226,-16154,-32768,-32768
15703,-31284,-17933,30479,-19330,-32768,-32768
15718,-31881,-16868,27874,-22952,-32768,-32768
15733,-32590,-15439,20918,-27065,-32768,-32768
15748,-32768,-12103,10308,-32768,-32768,-32768
15763,-32768,-7450,492,-32768,-32768,-32768
15777,-32768,-2081,-5466,-32768,-32768,-32768
15793,-32768,3127,-9111,-32768,-32768,-32768
15808,-32768,6465,-10949,-32768,-32768,-32768
15868,-32768,8707,-14561,-32768,-32768,-32768
15883,-32768,10093,-17867,-31116,-32768,-32768
15898,-32768,11835,-20867,-28543,-32768,-32768
15913,-32768,13286,-23076,-26494,-32768,-32768
15928,-30381,15286,-23076,-23396,-32768,-32768
15945,-27768,18205,-30091,-19251,-32768,-32768
15958,-24656,21301,-32622,-15407,-32768,-32768
15972,-21076,24881,-32768,-11643,-32768,-32768
15989,-5111,32767,-32768,-1779,-32768,-32768
16003,-80,32767,-32768,676,-32768,-32768
16019,3859,32767,-32768,3240,-32768,-32768
16033,7576,32767,-32768,5772,-32768,-32768
16048,13532,32767,-32768,7674,-32768,-32768
16063,20425,29703,-32768,7981,-32768,-32768
16078,25921,23752,-32768,11996,-32768,-32768
16093,29209,19366,-32509,15318,-32768,-32768
16108,31543,16286,-30768,18560,-32768,-32768
16124,32767,12464,-28849,21430,-32768,-32768
16138,32767,8368,-26865,23494,-32768,-32768
16153,32767,4723,-25253,25558,-32768,-32768
16169,32767,773,-22818,27751,-32768,-32768
16183,32767,-2399,-20076,29799,-32768,-32768
16198,32767,-5846,-17528,31380,-32768,-32768
16213,32767,-5941,-16077,32154,-32768,-32768
16228,32767,-10753,-13836,32767,-32768,-32768
16242,32767,-13978,-11965,32767,-32768,-32768
16258,30972,-18473,-10143,32767,-32768,-32768
16273,27859,-22904,-7321,32767,-32768,-32768
16289,24396,-26557,-4612,32767,-32768,-32768
16303,20473,-29670,-1290,32767,-32768,-32768
16318,16724,-31926,1937,32767,-32768,-32768
16333,14167,-32768,4764,32767,-32768,-32768
16348,10117,-32768,6877,32767,-32768,-32768
16363,7179,-32768,8481,32767,-32768,-32768
16378,4367,-32768,10101,32767,-32768,-32768
16393,2017,-32768,11531,32767,-32768,-32768
16408,-338,-32768,12865,32767,-32768,-32768
16423,-3321,-32768,14024,32767,-32768,-32768
16438,-6256,-32768,15136,32702,-32768,-32768
16453,-9627,-32768,16550,32009,-32768,-32768
16468,-12997,-32768,19552,30283,-32768,-32768
16483,-16319,-32053,23681,23397,-32768,-32768
16498,-19286,-30385,26651,14222,-32768,-32768
16513,-22076,-28003,29510,7787,-32768,-32768
16529,-24592,-25461,31766,3385,-32768,-32768
16543,-26672,-23253,32767,-668,-32768,-32768
16557,-29155,-20252,32767,-3860,-32768,-32768
16573,-31639,-17059,32767,-6449,-32768,-32768
16589,-32768,-14327,32767,-9483,-32768,-32768
16603,-32768,-12008,32767,-12231,-32768,-32768
16619,-32768,-9912,32767,-15074,-32768,-32768
16633,-32768,-7656,31305,-17964,-32768,-32768
16648,-32768,-4893,30241,-19664,-32768,-32768
16663,-32768,-636,27906,-22920,-32768,-32768
16678,-32768,4820,24888,-25604,-32768,-32768
16693,-32203,10077,20981,-28495,-32768,-32768
16708,-28801,15947,17042,-31624,-32768,-32768
16723,-25624,20430,13659,-32768,-32768,-32768
16740,-22463,24058,10498,-32768,-32768,-32768
16754,-19157,27139,5876,-32768,-32768,-32768
16768,-15448,29993,-935,-32768,-32768,-32768
16782,-11449,32767,-9288,-32768,-32768,-32768
16798,-6273,32767,-18028,-31132,-32768,-32768
16813,95,32767,-22850,-27081,-32768,-32768
