# sticktest
# device      Pro Controller
# sdl mapping yes
# hidapi hint 0
# axes 4, buttons 18, hats 0
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3
14534,6598,32767,0,0
14563,10437,32767,0,0
14579,10493,32767,0,0
14593,13695,32767,0,0
14608,13807,32767,0,0
14623,16398,32767,0,0
14638,16483,32767,0,0
14653,18261,32767,0,0
14668,18346,32767,0,0
14683,19646,32767,0,0
14699,19759,32767,0,0
14714,22479,32767,0,0
14728,22877,32767,0,0
14743,25863,32767,0,0
14759,27545,32767,0,0
14773,28002,32767,0,0
14788,30236,32767,0,0
14803,30574,32767,0,0
14818,32687,32767,0,0
14833,32767,32767,0,0
15043,32767,30658,0,0
15058,32767,29447,0,0
15074,32767,27460,0,0
15088,32767,26376,0,0
15104,32767,23757,0,0
15119,32767,21345,0,0
15133,32767,17837,0,0
15148,32767,15609,0,0
15163,32767,13104,0,0
15179,32767,10857,0,0
15194,32767,9091,0,0
15208,32767,7662,0,0
15223,32767,6010,0,0
15238,32767,4640,0,0
15253,32767,3297,0,0
15268,32767,1900,0,0
15284,32767,419,0,0
15298,32767,-642,0,0
15313,32767,-1453,0,0
15329,32767,-2403,0,0
15343,32767,-3325,0,0
15358,32767,-4080,0,0
15373,32767,-4891,0,0
15388,32767,-5619,0,0
15403,32767,-6598,0,0
15418,32767,-7886,0,0
15463,32767,-9399,0,0
15478,32767,-10998,0,0
15493,32767,-12458,0,0
15508,32767,-13554,0,0
15523,32767,-14398,0,0
15538,32767,-15271,0,0
15553,32767,-16342,0,0
15568,32767,-17583,0,0
15583,32767,-20637,0,0
15599,32767,-22905,0,0
15613,32767,-24610,0,0
15628,32767,-26518,0,0
15643,32767,-28560,0,0
15658,32767,-30616,0,0
15673,32767,-32728,0,0
15688,32767,-32767,0,0
15943,31408,-32767,0,0
15958,29900,-32767,0,0
15974,28015,-32767,0,0
15989,26632,-32767,0,0
16003,25407,-32767,0,0
16018,24098,-32767,0,0
16034,22479,-32767,0,0
16048,20835,-32767,0,0
