# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
7305,-32768,-4607,32767,11512,-32768,-32768
7319,-32768,-8879,32767,9932,-32768,-32768
7335,-32768,-14597,32767,7965,-32768,-32768
7350,-29123,-20029,32767,5368,-32768,-32768
7365,-23769,-25969,32767,2272,-32768,-32768
7380,-17238,-30766,32767,-429,-32768,-32768
7395,-11965,-32768,32767,-2605,-32768,-32768
7410,-7095,-32768,32767,-5337,-32768,-32768
7425,-3176,-32768,32767,-7609,-32768,-32768
7440,825,-32768,32767,-10118,-32768,-32768
7455,5304,-32768,31432,-15074,-32768,-32768
7470,10482,-32768,24301,-22332,-32768,-32768
7485,14072,-32768,18122,-29067,-32768,-32768
7500,17550,-31481,12468,-32768,-32768,-32768
7515,20632,-29575,6559,-32768,-32768,-32768
7531,23793,-27113,2144,-32720,-32768,-32768
7545,27223,-23651,-1402,-26192,-32768,-32768
7560,30035,-19982,-3983,-18647,-32768,-32768
7575,31353,-17869,-5918,-12532,-32768,-32768
7590,31575,-17472,-7369,-8117,-32768,-32768
7605,31559,-17297,-8159,-5703,-32768,-32768
7621,30479,-15312,-8030,-4432,-32768,-32768
7635,27684,-12644,-8062,-4432,-32768,-32768
7651,24333,-11246,-7966,-3209,-32768,-32768
7665,21188,-10229,-6740,-3129,-32768,-32768
7679,18535,-9117,-4853,-2939,-32768,-32768
7695,16105,-7323,-2983,-2653,-32768,-32768
7710,13850,-5766,-1999,-2748,-32768,-32768
7725,11960,-4813,-1709,-3129,-32768,-32768
7740,10530,-4019,-1741,-3352,-32768,-32768
7755,9434,-3590,-2983,-3606,-32768,-32768
7770,8878,-3558,-2983,-3606,-32768,-32768
7785,8878,-3558,-4015,-3892,-32768,-32768
7800,8688,-3542,-4015,-3892,-32768,-32768
7815,8688,-3542,-5047,-4051,-32768,-32768
7830,8688,-3542,-5111,-4432,-32768,-32768
7845,8688,-3542,-6901,-4638,-32768,-32768
7860,8640,-2939,-6901,-4638,-32768,-32768
7875,8576,-1843,-10046,-4432,-32768,-32768
7889,8958,-636,-12400,-4559,-32768,-32768
7905,8973,579,-12336,-2987,-32768,-32768
7920,9466,1853,-16222,-1986,-32768,-32768
7935,9529,3062,-16206,-858,-32768,-32768
7950,9593,3901,-16803,-858,-32768,-32768
7964,9656,4756,-16625,-16,-32768,-32768
7980,9561,5917,-14884,-16,-32768,-32768
7995,9291,7384,-12110,-16,-32768,-32768
8010,8910,8707,-9965,2176,-32768,-32768
8025,8354,9481,-8917,3820,-32768,-32768
8040,7655,10045,-8030,5385,-32768,-32768
8055,6877,10529,-7127,6530,-32768,-32768
8071,6146,11093,-5950,6401,-32768,-32768
8084,5098,11851,-4660,6513,-32768,-32768
8100,3859,12819,-2902,6126,-32768,-32768
8115,2461,13270,-999,3885,-32768,-32768
8130,1223,13238,-16,1740,-32768,-32768
8145,158,13238,174,1724,-32768,-32768
8161,-1306,11770,365,1724,-32768,-32768
8175,-2757,11819,746,1788,-32768,-32768
8192,-3450,10593,952,1579,-32768,-32768
8206,-4063,10626,1048,1063,-32768,-32768
8221,-4644,9158,857,337,-32768,-32768
8235,-5805,9271,555,-64,-32768,-32768
8250,-6934,6659,555,-64,-32768,-32768
8265,-8627,6804,555,-64,-32768,-32768
8280,-10417,4820,682,-1,-32768,-32768
8295,-12755,4949,905,128,-32768,-32768
8310,-14529,4030,905,128,-32768,-32768
8325,-15884,4062,1000,63,-32768,-32768
8340,-16819,3498,1270,-64,-32768,-32768
8355,-17561,3514,2716,-334,-32768,-32768
8370,-18931,1821,6257,-1303,-32768,-32768
8385,-21963,128,9926,-2494,-32768,-32768
8401,-25995,-2304,12515,-3193,-32768,-32768
8415,-30961,-7116,15041,-4035,-32768,-32768
8430,-32768,-8260,20219,-6147,-32768,-32768
8445,-32768,-10118,32433,-11071,-32768,-32768
8460,-32768,-12072,32767,-12008,-32768,-32768
8475,-32445,-15772,32767,-12008,-32768,-32768
8490,-30187,-19537,32767,-12008,-32768,-32768
8505,-25059,-25588,32767,-13914,-32768,-32768
8520,-16932,-31735,29209,-18266,-32768,-32768
8535,-8724,-32768,21426,-24270,-32768,-32768
8549,-2435,-32768,14993,-31624,-32768,-32768
8565,1905,-32768,10705,-32768,-32768,-32768
8580,4955,-32768,8608,-32768,-32768,-32768
8594,7560,-32768,8433,-32768,-32768,-32768
8610,10054,-32768,5336,-32768,-32768,-32768
8624,11817,-32768,1207,-32768,-32768,-32768
8639,13961,-32768,-5095,-32768,-32768,-32768
8656,17042,-31751,-12723,-32768,-32768,-32768
8669,20362,-29750,-19689,-30115,-32768,-32768
8685,23856,-27034,-23689,-27081,-32768,-32768
8700,26969,-23952,-23689,-25842,-32768,-32768
8716,29368,-20935,-25382,-25572,-32768,-32768
8729,31337,-17837,-25656,-24651,-32768,-32768
8745,32767,-14740,-26575,-24334,-32768,-32768
8760,32767,-11405,-26930,-21633,-32768,-32768
8774,32767,-9610,-30381,-19426,-32768,-32768
8790,32767,-7402,-30574,-16853,-32768,-32768
8805,32767,-4845,-32768,-13660,-32768,-32768
8820,32767,-2034,-32768,-10976,-32768,-32768
8835,32767,563,-32768,-8276,-32768,-32768
8850,32767,3111,-32768,-6735,-32768,-32768
8865,32767,6788,-32768,-4019,-32768,-32768
8880,32767,10819,-32768,-255,-32768,-32768
8895,32068,15028,-32768,2772,-32768,-32768
8909,28478,19801,-32768,6449,-32768,-32768
8925,23030,25945,-32768,8819,-32768,-32768
8940,17328,31493,-32768,10513,-32768,-32768
8955,10879,32767,-32768,12867,-32768,-32768
8970,5495,32767,-31961,16415,-32768,-32768
8985,1032,32767,-28897,21333,-32768,-32768
9000,-4031,32767,-24140,26590,-32768,-32768
9015,-9659,32767,-19673,30057,-32768,-32768
9030,-13578,32767,-16125,32105,-32768,-32768
9045,-16513,30864,-13400,32767,-32768,-32768
9060,-18367,30864,-11562,32767,-32768,-32768
9075,-19786,27477,-8998,32767,-32768,-32768
9089,-21834,24526,-6579,32767,-32768,-32768
9105,-24446,21124,285,32767,-32768,-32768
9120,-27688,15528,14819,13431,-32768,-32768
9135,-32268,5562,32767,79,-32768,-32768
9151,-32768,-2907,32767,-413,-32768,-32768
9165,-32768,-7132,32767,-413,-32768,-32768
9180,-32768,-9610,32767,-413,-32768,-32768
9195,8481,-8562,32767,-429,-32768,-32768
9210,2366,5723,190,-271,-32768,-32768
9225,238,-239,2112,-255,-32768,-32768
9241,238,-239,3081,-255,-32768,-32768
9255,238,-239,254,-255,-32768,-32768
9570,238,-239,1524,-1208,-32768,-32768
9586,-2741,-16440,15216,-6751,-32768,-32768
9600,-16900,-24635,32767,-13168,-32768,-32768
9615,-26140,-24381,32767,-4797,-32768,-32768
9630,-29429,-20315,32767,-4670,-32768,-32768
9645,-31719,-17186,32767,-4384,-32768,-32768
9660,-32768,-13215,32767,-4384,-32768,-32768
9675,-32768,-10610,32767,-4384,-32768,-32768
9691,-32768,-8387,32767,-4384,-32768,-32768
9705,-32768,-7116,32767,-4495,-32768,-32768
9721,-32768,-6338,32767,-5163,-32768,-32768
9751,-32768,-6084,32767,-7704,-32768,-32768
9765,-32768,-6084,32767,-9165,-32768,-32768
9780,-32768,-6084,32767,-9133,-32768,-32768
9810,-32768,-6131,32767,-7116,-32768,-32768
9825,-32768,-6131,32767,-5925,-32768,-32768
9841,-32768,-6131,32767,-5909,-32768,-32768
9870,-32768,-6131,254,-255,-32768,-32768
9990,-32768,-5941,254,-255,-32768,-32768
10020,-32768,-5385,254,-255,-32768,-32768
10035,-32768,-4877,254,-255,-32768,-32768
10050,-32768,-4877,5066,-1398,-32768,-32768
10065,-32768,-4877,19758,-5147,-32768,-32768
10080,-32768,-4877,32767,-8419,-32768,-32768
10095,-32768,-4877,32767,-5988,-32768,-32768
10110,-32768,-4877,32767,-4861,-32768,-32768
10125,-32768,-4877,32767,-4797,-32768,-32768
10140,-32768,-4877,32767,-4352,-32768,-32768
10155,-32768,-4861,32767,-4352,-32768,-32768
10200,-32768,-4861,32767,-3272,-32768,-32768
10230,-32768,-4861,32767,-2399,-32768,-32768
10260,-32768,-4861,32767,-2097,-32768,-32768
10290,-32768,-4861,32767,-1255,-32768,-32768
10321,-32768,-4861,32767,-874,-32768,-32768
10650,-32768,-4893,32767,-874,-32768,-32768
10665,-25333,-5115,32767,-874,-32768,-32768
10680,-8691,-4210,27843,-1144,-32768,-32768
10694,-9336,-3193,8640,-112,-32768,-32768
10710,238,-239,11991,-112,-32768,-32768
10725,238,-239,254,-255,-32768,-32768
11355,-8450,-16519,4447,-779,-32768,-32768
11370,-31848,-16948,25476,-8498,-32768,-32768
11384,-32768,-12532,32767,-10420,-32768,-32768
11400,-32768,-10277,32767,-10198,-32768,-32768
11414,-32768,-9419,32767,-10150,-32768,-32768
11430,-32768,-8498,32767,-8101,-32768,-32768
11445,-32768,-7291,32767,-7990,-32768,-32768
11460,-32768,-5925,32767,-6703,-32768,-32768
11475,-32768,-5004,32767,-6640,-32768,-32768
11490,-32768,-4638,32767,-5877,-32768,-32768
11506,-32768,-4448,32767,-5877,-32768,-32768
11519,-32768,-4178,32767,-5846,-32768,-32768
11550,-32768,-4178,32767,-5369,-32768,-32768
11566,-32768,-4178,32767,-5337,-32768,-32768
11579,-32768,-4178,32767,-5210,-32768,-32768
11745,-32768,-4178,32767,-4495,-32768,-32768
11760,-32768,-4241,32767,-4464,-32768,-32768
11774,-32768,-6592,32767,-2987,-32768,-32768
11790,9990,-5861,127,-1668,-32768,-32768
11805,7750,3820,-1080,289,-32768,-32768
11820,238,-239,254,-255,-32768,-32768
12345,-274,-699,254,-255,-32768,-32768
12360,-15900,-5861,9434,-1589,-32768,-32768
12375,-32768,-5734,22792,-3257,-32768,-32768
12390,-32768,-5417,32767,-4972,-32768,-32768
12405,-32768,-5417,32767,-4130,-32768,-32768
12419,-32768,-5417,32767,-4114,-32768,-32768
12435,-32768,-5417,32767,-3384,-32768,-32768
12450,-32768,-5369,32767,-3384,-32768,-32768
12465,-32768,-5337,32767,-3193,-32768,-32768
12480,-32768,-5337,32767,-3177,-32768,-32768
12496,-32768,-5337,32767,-2987,-32768,-32768
12540,-32768,-5115,32767,-2987,-32768,-32768
12570,-32768,-4988,32767,-2987,-32768,-32768
12600,-32768,-4559,32767,-2987,-32768,-32768
12615,-32768,-4591,32767,-2987,-32768,-32768
12660,-32768,-4464,32767,-2987,-32768,-32768
12810,-32768,-4511,32767,-2987,-32768,-32768
12824,-32768,-7593,32767,-2987,-32768,-32768
12840,825,-6751,32767,-5035,-32768,-32768
12870,174,563,254,-255,-32768,-32768
12885,238,-239,254,-255,-32768,-32768
13380,1842,-286,317,-302,-32768,-32768
13395,5479,-12246,12198,-9832,-32768,-32768
13410,4812,-32768,28065,-22698,-32768,-32768
13425,-774,-32768,28065,-22698,-32768,-32768
13441,-1741,-32768,28542,-22094,-32768,-32768
13455,-3531,-32768,28542,-22094,-32768,-32768
13471,-5224,-32768,28415,-22253,-32768,-32768
13485,-6660,-32768,28415,-22253,-32768,-32768
13500,-8998,-32768,28415,-22253,-32768,-32768
13515,-11175,-32768,28351,-22332,-32768,-32768
13531,-13239,-32768,28351,-22332,-32768,-32768
13545,-14916,-32720,28287,-22412,-32768,-32768
13560,-16045,-32196,28287,-22412,-32768,-32768
13574,-16464,-31989,28287,-22412,-32768,-32768
13619,-16254,-32100,28287,-22412,-32768,-32768
13665,-16480,-31973,28287,-22412,-32768,-32768
13890,-16190,-32116,28287,-22412,-32768,-32768
13920,-16190,-32116,25016,-23794,-32768,-32768
13935,-17270,-31211,5638,-28463,-32768,-32768
13950,-5047,-13184,4749,-29781,-32768,-32768
13965,1238,-6179,-1257,-366,-32768,-32768
13980,270,79,254,-255,-32768,-32768
13994,238,-239,254,-255,-32768,-32768
14700,3843,-32,254,-255,-32768,-32768
14715,5019,9335,-1209,-699,-32768,-32768
14730,7385,17898,-1338,-1033,-32768,-32768
14745,6734,32767,-4257,-8974,-32768,-32768
14760,4939,32767,-3999,-32768,-32768,-32768
14775,3271,32767,-3789,-32768,-32768,-32768
14790,2906,32767,-3789,-32768,-32768,-32768
14805,3526,32767,-3789,-32768,-32768,-32768
14835,3939,32767,-3612,-32768,-32768,-32768
14851,3939,32767,-3467,-32768,-32768,-32768
14865,3796,32767,-3467,-32768,-32768,-32768
14880,3621,32767,-3450,-32768,-32768,-32768
14895,3351,32767,-3450,-32768,-32768,-32768
14909,3049,32767,-3450,-32768,-32768,-32768
14925,2795,32767,-3450,-32768,-32768,-32768
14940,2684,32767,-3450,-32768,-32768,-32768
14970,2684,32767,-3273,-32768,-32768,-32768
15210,2684,32767,-3128,-32768,-32768,-32768
15315,3081,32767,-2967,-32768,-32768,-32768
15345,2827,32767,-2999,-32768,-32768,-32768
15360,2652,32767,-2999,-32768,-32768,-32768
15375,587,-8292,-2999,19414,-32768,-32768
15390,-129,-3876,3684,16931,-32768,-32768
15405,238,1305,-338,3611,-32768,-32768
15420,238,-239,254,-255,-32768,-32768
15990,238,-6799,254,-255,-32768,-32768
16005,-161,-32768,3939,-1779,-32768,-32768
16021,-6031,-32768,22284,-9594,-32768,-32768
16034,-6176,-32768,32767,-12755,-32768,-32768
16050,-6934,-32768,32767,-12469,-32768,-32768
16065,-7450,-32768,32767,-12469,-32768,-32768
16095,-7450,-32768,32767,-13342,-32768,-32768
16110,-7450,-32768,32767,-13739,-32768,-32768
16125,-7643,-32768,32767,-13739,-32768,-32768
16139,-8224,-32768,32767,-13739,-32768,-32768
16155,-9078,-32768,32767,-13739,-32768,-32768
16169,-9998,-32768,32767,-13692,-32768,-32768
16185,-10546,-32768,32767,-13644,-32768,-32768
16230,-10546,-32768,32767,-13597,-32768,-32768
16275,-10675,-32768,32767,-13597,-32768,-32768
16349,-10707,-32768,32767,-13597,-32768,-32768
