# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
214020,238,-239,-10433,-32768,-32768,-32768
214035,238,-239,-16061,-32180,-32768,-32768
214050,238,-239,-17335,-31513,-32768,-32768
214065,238,-239,-21995,-28336,-32768,-32768
214080,238,-239,-27349,-22745,-32768,-32768
214095,238,-239,-31429,-17694,-32768,-32768
214110,238,-239,-32768,-10626,-32768,-32768
214125,238,-239,-32768,110,-32768,-32768
214140,238,-239,-32768,16856,-32768,-32768
214155,238,-239,-24495,30239,-32768,-32768
214171,238,-239,-17770,32767,-32768,-32768
214185,238,-239,-11981,32767,-32768,-32768
214200,238,-239,-9014,32767,-32768,-32768
214215,238,-239,-7434,32767,-32768,-32768
214230,238,-239,-6853,32767,-32768,-32768
214245,238,-239,-5998,32767,-32768,-32768
214260,238,-239,-4692,32767,-32768,-32768
214275,238,-239,-2177,32767,-32768,-32768
214290,238,-239,968,32767,-32768,-32768
214305,238,-239,5050,32767,-32768,-32768
214321,270,-239,11896,32767,-32768,-32768
214336,238,-239,24444,26445,-32768,-32768
214351,238,-239,32767,9980,-32768,-32768
214366,238,-239,32767,4578,-32768,-32768
214380,238,-239,32767,2837,-32768,-32768
214395,238,-239,32767,789,-32768,-32768
214410,238,-239,32767,79,-32768,-32768
214425,238,-239,32767,-874,-32768,-32768
214441,238,-239,32767,-2208,-32768,-32768
214456,238,-239,32767,-3320,-32768,-32768
214485,238,-239,32767,-4257,-32768,-32768
214501,238,-239,32767,-5242,-32768,-32768
214516,238,-239,32767,-6100,-32768,-32768
214530,238,-239,32767,-6671,-32768,-32768
214545,238,-239,32767,-7736,-32768,-32768
214560,238,-239,32767,-9022,-32768,-32768
214575,238,-239,32767,-9451,-32768,-32768
214590,238,-239,32767,-9594,-32768,-32768
214725,238,-239,32767,-10055,-32768,-32768
214740,238,-239,32767,-10245,-32768,-32768
214770,238,-239,32767,-10468,-32768,-32768
214801,238,-239,32767,-10595,-32768,-32768
214845,238,-239,32767,-10738,-32768,-32768
214861,238,-239,32767,-11071,-32768,-32768
214875,238,-239,32767,-11293,-32768,-32768
214995,238,-239,32767,-10086,-32768,-32768
215040,238,-239,32767,-8577,-32768,-32768
215056,238,-239,32767,-7053,-32768,-32768
215071,238,-239,32767,-5321,-32768,-32768
215086,238,-239,32767,-2256,-32768,-32768
215101,238,-239,32767,-1065,-32768,-32768
215130,238,-239,32767,515,-32768,-32768
215145,238,-239,32767,5272,-32768,-32768
215160,238,-239,32767,7932,-32768,-32768
215191,238,-239,32767,12383,-32768,-32768
215205,238,-239,30130,19608,-32768,-32768
215220,238,-239,23300,27461,-32768,-32768
215236,238,-239,15073,32750,-32768,-32768
215251,238,-239,8132,32767,-32768,-32768
215266,238,-239,4336,32767,-32768,-32768
215281,238,-239,2255,32767,-32768,-32768
215310,238,-239,-2822,32767,-32768,-32768
215325,238,-239,-5918,32767,-32768,-32768
215341,238,-239,-6127,32767,-32768,-32768
215356,238,-239,-10352,32767,-32768,-32768
215370,238,-239,-12046,32767,-32768,-32768
215385,238,-239,-12352,32767,-32768,-32768
215400,238,-239,-14916,32718,-32768,-32768
215415,238,-239,-15222,32476,-32768,-32768
215431,238,-239,-17754,31251,-32768,-32768
215446,238,-239,-19786,30009,-32768,-32768
215460,238,-239,-21544,28493,-32768,-32768
215476,238,-239,-21544,27090,-32768,-32768
215491,238,-239,-23624,26074,-32768,-32768
215506,238,-239,-24479,25284,-32768,-32768
215520,238,-239,-24479,24510,-32768,-32768
215535,238,-239,-26172,23768,-32768,-32768
215550,238,-239,-26172,22752,-32768,-32768
215565,238,-239,-27994,21865,-32768,-32768
215580,238,-239,-27994,20882,-32768,-32768
215595,238,-239,-29300,20108,-32768,-32768
215610,238,-239,-29300,19414,-32768,-32768
215625,238,-239,-30816,18495,-32768,-32768
215640,238,-239,-30865,17544,-32768,-32768
215655,238,-239,-31784,16802,-32768,-32768
215671,238,-239,-31913,16383,-32768,-32768
215686,238,-239,-32461,15447,-32768,-32768
215700,238,-239,-32768,14705,-32768,-32768
215715,238,-239,-32768,13464,-32768,-32768
215730,238,-239,-32768,13044,-32768,-32768
215745,238,-239,-32768,12641,-32768,-32768
215760,238,-239,-32768,11851,-32768,-32768
215775,238,-239,-32768,10964,-32768,-32768
215791,238,-239,-32768,10109,-32768,-32768
215806,47,-398,-32768,8690,-32768,-32768
215821,47,-398,-32768,8094,-32768,-32768
215835,-161,-699,-32768,7062,-32768,-32768
215850,-451,-858,-32768,6030,-32768,-32768
215865,-596,-938,-32768,4885,-32768,-32768
215880,-596,-938,-32768,3724,-32768,-32768
215896,-435,-842,-32768,2240,-32768,-32768
215926,-435,-842,-32768,1708,-32768,-32768
215971,-435,-842,-32768,1272,-32768,-32768
215985,-499,-811,-32768,724,-32768,-32768
216000,-499,-811,-32768,-811,-32768,-32768
216015,-290,-715,-32768,-1684,-32768,-32768
216031,-290,-715,-32768,-2447,-32768,-32768
216046,-290,-715,-32768,-2939,-32768,-32768
216061,-290,-715,-32768,-3431,-32768,-32768
216076,-677,-890,-32768,-4289,-32768,-32768
216090,-1886,-1224,-32768,-4988,-32768,-32768
216105,-1886,-1224,-32768,-6068,-32768,-32768
216121,-1886,-1224,-32768,-7386,-32768,-32768
216136,-1386,-1112,-32768,-8371,-32768,-32768
216151,-1386,-1112,-32768,-9372,-32768,-32768
216165,-628,-874,-32768,-10070,-32768,-32768
216181,-628,-874,-32768,-10722,-32768,-32768
216196,-80,-477,-32768,-11484,-32768,-32768
216211,-80,-477,-32768,-11659,-32768,-32768
216226,-80,-477,-32768,-11865,-32768,-32768
216241,206,-271,-32768,-12882,-32768,-32768
216255,206,-271,-32768,-13724,-32768,-32768
216271,238,-239,-32768,-14708,-32768,-32768
216286,238,-239,-32542,-15550,-32768,-32768
216300,238,-239,-32332,-16011,-32768,-32768
216316,238,-239,-32122,-16392,-32768,-32768
216331,238,-239,-32058,-16519,-32768,-32768
216376,238,-239,-31929,-16789,-32768,-32768
216390,238,-239,-30994,-18457,-32768,-32768
216405,238,-239,-29365,-20410,-32768,-32768
216421,238,-239,-27252,-22729,-32768,-32768
216436,238,-239,-24930,-25159,-32768,-32768
216451,238,-239,-22882,-27145,-32768,-32768
216465,238,-239,-21576,-28416,-32768,-32768
216480,238,-239,-20834,-29003,-32768,-32768
216496,238,-239,-20044,-29686,-32768,-32768
216510,238,-239,-18577,-30798,-32768,-32768
216525,238,-239,-16642,-31894,-32768,-32768
216540,238,-239,-14319,-32768,-32768,-32768
216555,238,-239,-11884,-32768,-32768,-32768
216570,238,-239,-9627,-32768,-32768,-32768
216586,238,-239,-7434,-32768,-32768,-32768
216600,238,-239,-6160,-32768,-32768,-32768
216615,238,-239,-5498,-32768,-32768,-32768
216630,238,-239,-4660,-32768,-32768,-32768
216645,238,-239,-3402,-32768,-32768,-32768
216660,238,-239,-2144,-32768,-32768,-32768
216676,238,-239,-725,-32768,-32768,-32768
216691,238,-239,397,-32768,-32768,-32768
216706,238,-239,1429,-32768,-32768,-32768
216721,238,-239,2795,-32768,-32768,-32768
216736,238,-239,4415,-32768,-32768,-32768
216750,238,-239,6194,-32768,-32768,-32768
216765,238,-239,7735,-32768,-32768,-32768
216780,238,-239,9514,-32768,-32768,-32768
216795,238,-239,10641,-32768,-32768,-32768
216810,238,-239,11753,-32768,-32768,-32768
216825,238,-239,12484,-32768,-32768,-32768
216840,238,-239,14056,-32768,-32768,-32768
216855,238,-239,15136,-32736,-32768,-32768
216870,238,-239,17090,-31799,-32768,-32768
216885,238,-239,18869,-30782,-32768,-32768
216901,238,-239,20854,-29480,-32768,-32768
216916,238,-239,21998,-28622,-32768,-32768
216930,238,-239,24015,-26970,-32768,-32768
216946,238,-239,25698,-25223,-32768,-32768
216961,238,-239,27747,-23031,-32768,-32768
216976,238,-239,30130,-19823,-32768,-32768
216991,238,-239,32354,-15979,-32768,-32768
217005,238,-239,32767,-12294,-32768,-32768
217020,238,-239,32767,-8164,-32768,-32768
217035,238,-239,32767,-4734,-32768,-32768
217051,238,-239,32767,-1573,-32768,-32768
217065,238,-239,32767,1627,-32768,-32768
217081,238,-239,32767,4401,-32768,-32768
217095,238,-239,32767,7013,-32768,-32768
217110,238,-239,32767,9174,-32768,-32768
217126,238,-239,32767,9642,-32768,-32768
217140,238,-239,32767,12125,-32768,-32768
217156,238,-239,32767,14673,-32768,-32768
217171,238,-239,31861,16608,-32768,-32768
217200,238,-239,30606,18834,-32768,-32768
217231,238,-239,29622,20366,-32768,-32768
217246,238,-239,29034,21188,-32768,-32768
217260,238,-239,27303,23413,-32768,-32768
217276,238,-239,26588,24252,-32768,-32768
217291,238,-239,24158,26687,-32768,-32768
217306,238,-239,22125,28412,-32768,-32768
217321,238,-239,19218,30477,-32768,-32768
217336,238,-239,15708,32428,-32768,-32768
217350,238,-239,13198,32767,-32768,-32768
217365,238,-239,9815,32767,-32768,-32768
217380,238,-239,7401,32767,-32768,-32768
217395,238,-239,4479,32767,-32768,-32768
217410,238,-239,1445,32767,-32768,-32768
217426,238,-239,-1032,32767,-32768,-32768
217441,238,-239,-3241,32767,-32768,-32768
217455,238,-239,-5192,32767,-32768,-32768
217470,238,-239,-5289,32767,-32768,-32768
217485,238,-239,-8046,32767,-32768,-32768
217500,238,-239,-8175,32767,-32768,-32768
217515,238,-239,-9095,32767,-32768,-32768
217530,238,-239,-9143,32767,-32768,-32768
217636,238,-239,-8643,32767,-32768,-32768
217650,238,-239,-7933,32767,-32768,-32768
217665,238,-239,-6853,32767,-32768,-32768
217680,238,-239,-5837,32767,-32768,-32768
217696,238,-239,-4386,32767,-32768,-32768
217710,238,-239,-2870,32767,-32768,-32768
217725,238,-239,-1032,32767,-32768,-32768
217740,238,-239,635,32767,-32768,-32768
217757,238,-239,2541,32767,-32768,-32768
217771,238,-239,4860,32767,-32768,-32768
217786,238,-239,7338,32767,-32768,-32768
217801,238,-239,10482,32767,-32768,-32768
217816,238,-239,14294,32767,-32768,-32768
217831,238,-239,18503,30928,-32768,-32768
217846,238,-239,22649,28009,-32768,-32768
